column,korean_name,domain,reason,test_method,statistic,p_value,effect_size,effect_size_name,significant_0_05,rf_importance,effect_rank,rf_rank,selection_rank,selected_final,selection_reason
family_r,가족 형태,가족 환경,가구 구성의 생활환경 차이 확인,카이제곱 검정 / Cramér's V,1282.118571454457,1.227024493292979e-272,0.3334354558429347,Cramér's V,True,0.12986761690329324,1.0,1.0,2.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
a2_relation,두 번째 보호자와 아이의 관계,가족 환경,가구 내 두 번째 보호자 관계 확인,카이제곱 검정 / Cramér's V,910.9341791900113,1.6253516310278233e-193,0.2814456746081793,Cramér's V,True,0.08695128225460587,3.0,2.0,5.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
everhomeless,거주지 없이 지낸 경험,주거 안정,주거 불안정 경험 확인,카이제곱 검정 / Cramér's V,1064.2170070021946,8.094931082634138e-232,0.30379569228705655,Cramér's V,True,0.06284180304993782,2.0,3.0,5.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
a1_relation,주 보호자와 아이의 관계,가족 환경,주 보호자 관계 확인,카이제곱 검정 / Cramér's V,649.2460178507338,4.6074060387752066e-138,0.2371826553082979,Cramér's V,True,0.06108651413842424,4.0,4.0,8.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
a1_marital,주 보호자의 혼인 상태,가족 환경,보호자 생활 여건 확인,카이제곱 검정 / Cramér's V,489.16079767277927,1.7447750858369625e-103,0.20630469848030808,Cramér's V,True,0.054563695169554366,5.0,5.0,10.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
foodsit,최근 12개월 가구 식품 상황,경제,식생활 안정성 확인,카이제곱 검정 / Cramér's V,437.9769858086642,1.3126829856718715e-94,0.19478983843661357,Cramér's V,True,0.04026797526460464,6.0,6.0,12.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
homeevic,주거 퇴거 걱정,주거 안정,주거 유지 불안 확인,카이제곱 검정 / Cramér's V,348.11416371305637,4.478674480711931e-74,0.1735254368028881,Cramér's V,True,0.025001192825954543,7.0,11.0,18.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
k7q04r_r,학교가 가정에 문제로 연락한 횟수,학교 생활,학교 적응 관련 신호 확인,카이제곱 검정 / Cramér's V,194.89623069200857,4.77332750927492e-43,0.15005245181672877,Cramér's V,True,0.02778709053018715,9.0,10.0,19.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
bullied_r,최근 따돌림·괴롭힘 경험,학교·사회생활,또래 환경 확인,카이제곱 검정 / Cramér's V,195.9756513947287,2.7542907961771665e-41,0.15006918323150856,Cramér's V,True,0.02186610958466276,8.0,14.0,22.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
famcount,가족 구성원 수,가족 환경,가족 구성 규모 확인,카이제곱 검정 / Cramér's V,246.40091599138424,1.6162391994791995e-49,0.14650424712047294,Cramér's V,True,0.0236649834009521,10.0,13.0,23.0,False,최종 10문항 범위 밖
a1_grade,주 보호자의 최종 학력,가족·경제,가구의 교육 자원 관련 특성 확인,카이제곱 검정 / Cramér's V,199.07524348081807,1.0007473361900225e-38,0.13110993345912098,Cramér's V,True,0.02836043126641418,15.0,9.0,24.0,False,최종 10문항 범위 밖
a2_grade,두 번째 보호자의 최종 학력,가족·경제,가구의 교육 자원 관련 특성 확인,카이제곱 검정 / Cramér's V,159.16898068074636,2.3861645327272535e-30,0.12675936522718528,Cramér's V,True,0.03457720016103365,18.0,7.0,25.0,False,최종 10문항 범위 밖
a2_employed_r,두 번째 보호자의 고용 상태,가족·경제,가구의 경제활동 상황 확인,카이제곱 검정 / Cramér's V,145.66005645948755,1.1196021399397377e-29,0.12119982086289242,Cramér's V,True,0.03343441933269667,20.0,8.0,28.0,False,최종 10문항 범위 밖
missmortgage,주거비·임대료 납부 곤란,주거·경제,주거비 부담 여부 확인,카이제곱 검정 / Cramér's V,235.37520635580634,7.743251251902971e-52,0.14279144806314337,Cramér's V,True,0.020754994498118795,11.0,17.0,28.0,False,최종 10문항 범위 밖
grades,학교 성적,학교 생활,학교 적응 특성 확인,카이제곱 검정 / Cramér's V,153.13043816821207,2.8776577231290425e-31,0.13273055299070075,Cramér's V,True,0.021679114445239872,14.0,16.0,30.0,False,최종 10문항 범위 밖
k7q83_r,학교에서 과제를 끝까지 해냄,학교 생활,학교 참여 특성 확인,카이제곱 검정 / Cramér's V,167.74368806645947,3.9061631373188e-36,0.13903151997890464,Cramér's V,True,0.02033785525530902,12.0,19.0,31.0,False,최종 10문항 범위 밖
hhcount,함께 사는 가구원 수,가족 환경,가구 규모 확인,카이제곱 검정 / Cramér's V,189.25056676749134,1.1707710763933263e-36,0.12783376014544778,Cramér's V,True,0.02181863241082624,17.0,15.0,32.0,False,최종 10문항 범위 밖
screentime,화면 사용 시간,생활습관,일상 미디어 사용 특성 확인,카이제곱 검정 / Cramér's V,102.46275735770095,2.9405355141278683e-21,0.09421578513936739,Cramér's V,True,0.023924930908952577,24.0,12.0,36.0,False,최종 10문항 범위 밖
makefriend,친구를 사귀거나 유지하는 어려움,학교·사회생활,또래 관계 특성 확인,카이제곱 검정 / Cramér's V,144.5638726891434,4.0583911687989474e-32,0.12889033352062015,Cramér's V,True,0.01691791016058982,16.0,23.0,39.0,False,최종 10문항 범위 밖
a1_employed_r,주 보호자의 현재 고용 상태,가족·경제,가구의 일상 경제활동 상황 확인,카이제곱 검정 / Cramér's V,181.1483579533794,3.042121596604931e-37,0.1255070959204332,Cramér's V,True,0.018183392052631295,19.0,21.0,40.0,False,최종 10문항 범위 밖
k7q82_r,학교에서 잘하고 싶어 하는 마음,학교 생활,학교 참여·동기 특성 확인,카이제곱 검정 / Cramér's V,118.82387760322747,1.382689375889479e-25,0.11690741088351868,Cramér's V,True,0.01934362991193708,21.0,20.0,41.0,False,최종 10문항 범위 밖
hoursleep,평균 수면 시간,생활습관,일상 생활리듬 확인,카이제곱 검정 / Cramér's V,67.93035130564769,1.0856957994382231e-12,0.08827717106632223,Cramér's V,True,0.020573368091726704,25.0,18.0,43.0,False,최종 10문항 범위 밖
tenure,현재 주거 형태,주거 안정,현재 거주지의 소유·임대 형태 확인,카이제곱 검정 / Cramér's V,144.800847823984,3.484895879001753e-31,0.11181820634640824,Cramér's V,True,0.017595353686714738,22.0,22.0,44.0,False,최종 10문항 범위 밖
ssi,보충소득 지원 이용,경제,공적 지원 이용 여부 확인,카이제곱 검정 / Cramér's V,216.69185447870944,4.7642971587679445e-49,0.1368590063857582,Cramér's V,True,0.008589999411019804,13.0,34.0,47.0,False,최종 10문항 범위 밖
ebtcards,식품 지원 카드 사용,경제,식품 지원 이용 여부 확인,카이제곱 검정 / Cramér's V,133.22953485097173,8.05402864639233e-31,0.10772817727343238,Cramér's V,True,0.011495558423520165,23.0,28.0,51.0,False,최종 10문항 범위 밖
k10q40_r,아이가 느끼는 동네 안전,동네 환경,주거 지역의 안전 인식 확인,카이제곱 검정 / Cramér's V,71.16604903068412,2.401840326734918e-15,0.07857730329635111,Cramér's V,True,0.011937634185875037,27.0,27.0,54.0,False,최종 10문항 범위 밖
physactiv,신체활동 시간,생활습관,일상 활동 특성 확인,카이제곱 검정 / Cramér's V,16.458716266127084,0.0009130438585658434,0.043482408474799755,Cramér's V,True,0.01671312596080528,33.0,24.0,57.0,False,최종 10문항 범위 밖
k10q41_r,아이가 느끼는 학교 안전,학교 환경,학교 내 안전 인식 확인,카이제곱 검정 / Cramér's V,46.67935198361202,4.06660228169203e-10,0.073295533547908,Cramér's V,True,0.010168369438705216,28.0,29.0,57.0,False,최종 10문항 범위 밖
decisions_r,가족의 의사결정 참여,가족 환경,가정 내 의사결정 경험 확인,카이제곱 검정 / Cramér's V,17.261585773417796,3.25705407280732e-05,0.041247052201797973,Cramér's V,True,0.01619259470689101,34.0,25.0,59.0,False,최종 10문항 범위 밖
bedtime,평일 취침 시간,생활습관,일상 수면 리듬 확인,카이제곱 검정 / Cramér's V,12.518649636571867,0.01388372491865103,0.03295780466302029,Cramér's V,True,0.014354124570570065,36.0,26.0,62.0,False,최종 10문항 범위 밖
