column,response_code,question_weight,response_difference_pp,response_ratio,score_method,max_contribution
family_r,1.0,25.452596305409326,-61.34427360536172,0.0,위험군 응답 차이,0.0
family_r,2.0,25.452596305409326,-0.45527301399566344,0.0,위험군 응답 차이,0.0
family_r,3.0,25.452596305409326,7.155667258032722,0.28462922074256214,위험군 응답 차이,7.244552652283673
family_r,4.0,25.452596305409326,2.9262172284644192,0.11639542469310818,위험군 응답 차이,2.9625657565103545
family_r,5.0,25.452596305409326,25.140311452789277,1.0,위험군 응답 차이,25.452596305409326
family_r,6.0,25.452596305409326,4.045692883895131,0.16092453315435232,위험군 응답 차이,4.095947178014188
family_r,7.0,25.452596305409326,17.25422826729746,0.6863172041324545,위험군 응답 차이,17.46855473424057
family_r,8.0,25.452596305409326,5.489591957421644,0.21835815231368516,위험군 응답 차이,5.55778190083531
a2_relation,1.0,17.04147606798861,-53.5171299034102,0.0,위험군 응답 차이,0.0
a2_relation,2.0,17.04147606798861,7.477409816676523,0.29590230432001496,위험군 응답 차이,5.042612037532218
a2_relation,3.0,17.04147606798861,12.668657599053814,0.5013346958516,위험군 응답 차이,8.54348322140739
a2_relation,4.0,17.04147606798861,1.2888231815493791,0.05100238700719223,위험군 응답 차이,0.8691559575933597
a2_relation,6.0,17.04147606798861,3.080879164202641,0.12191912257983992,위험군 응답 차이,2.077681809674512
a2_relation,7.0,17.04147606798861,3.318154937906564,0.13130879760363198,위험군 응답 차이,2.2376957318786546
a2_relation,8.0,17.04147606798861,25.269860043366844,1.0,위험군 응답 차이,17.04147606798861
everhomeless,1.0,12.316288558102798,19.964991129509166,1.0,위험군 응답 차이,12.316288558102798
everhomeless,2.0,12.316288558102798,-23.229213483146072,0.0,위험군 응답 차이,0.0
everhomeless,3.0,12.316288558102798,3.0287995269071555,0.15170552830501646,위험군 응답 차이,1.8684490624640144
a1_relation,1.0,11.972271618934773,-30.850029568302773,0.0,위험군 응답 차이,0.0
a1_relation,2.0,11.972271618934773,2.5235757934161245,0.12062511247859961,위험군 응답 차이,1.4441566106583528
a1_relation,3.0,11.972271618934773,20.920816085156712,1.0,위험군 응답 차이,11.972271618934773
a1_relation,4.0,11.972271618934773,2.1210723437808,0.10138573634733579,위험군 응답 차이,1.213817573836012
a1_relation,6.0,11.972271618934773,4.270825941257638,0.204142416045031,위험군 응답 차이,2.4440484538366993
a1_relation,7.0,11.972271618934773,1.1450029568302778,0.054730319896204034,위험군 응답 차이,0.6552462555885447
a1_marital,1.0,10.693872261598901,-41.016991917997245,0.0,위험군 응답 차이,0.0
a1_marital,2.0,10.693872261598901,2.415296668637886,0.14785924602983055,위험군 응답 차이,1.5811878897393326
a1_marital,3.0,10.693872261598901,14.54133648728563,0.8901892165854132,위험군 응답 차이,9.519569770817206
a1_marital,4.0,10.693872261598901,16.335107431500095,1.0,위험군 응답 차이,10.693872261598901
a1_marital,5.0,10.693872261598901,4.445042381233984,0.2721158951585655,위험군 응답 차이,2.9099726231763383
a1_marital,6.0,10.693872261598901,2.7014981273408236,0.16537988125693875,위험군 응답 차이,1.7685513248000975
foodsit,1.0,7.89207150239314,-36.54902424600828,0.0,코드북 응답 순서,0.0
foodsit,2.0,7.89207150239314,20.314232209737824,0.3333333333333333,코드북 응답 순서,2.630690500797713
foodsit,3.0,7.89207150239314,12.796215257244233,0.6666666666666666,코드북 응답 순서,5.261381001595426
foodsit,4.0,7.89207150239314,3.0952887837571454,1.0,코드북 응답 순서,7.89207150239314
homeevic,1.0,4.8999533781125395,5.1390301596688355,1.0,코드북 응답 순서,4.8999533781125395
homeevic,2.0,4.8999533781125395,3.3972008673368816,0.75,코드북 응답 순서,3.674965033584405
homeevic,3.0,4.8999533781125395,11.555765819041985,0.5,코드북 응답 순서,2.4499766890562698
homeevic,4.0,4.8999533781125395,6.3335698797555695,0.25,코드북 응답 순서,1.2249883445281349
homeevic,5.0,4.8999533781125395,-26.702365464222353,0.0,코드북 응답 순서,0.0
k7q04r_r,1.0,5.445958081246513,-15.650699783165777,0.0,코드북 응답 순서,0.0
k7q04r_r,2.0,5.445958081246513,5.547703528484132,0.5,코드북 응답 순서,2.7229790406232564
k7q04r_r,3.0,5.445958081246513,22.24133648728563,1.0,코드북 응답 순서,5.445958081246513
bullied_r,1.0,4.285512226213413,-13.16073329390893,0.0,코드북 응답 순서,0.0
bullied_r,2.0,4.285512226213413,4.166922925290756,0.25,코드북 응답 순서,1.0713780565533533
bullied_r,3.0,4.285512226213413,8.255174452986399,0.5,코드북 응답 순서,2.1427561131067066
bullied_r,4.0,4.285512226213413,7.818844864971417,0.75,코드북 응답 순서,3.21413416966006
bullied_r,5.0,4.285512226213413,5.557796175832841,1.0,코드북 응답 순서,4.285512226213413
